Source,Target,Type,Id,Label,Weight
hasuran-li,jixin,Directed,14324,,1.0
hasuran-li,cogito,Directed,36,,1.0
hasuran-li,lycheeorange,Directed,51,,1.0
lawrencelry,jixin,Directed,21898,,1.0
lawrencelry,marukochan,Directed,11788,,1.0
lawrencelry,aaronglyang,Directed,12479,,1.0
lawrencelry,cogito,Directed,37,,1.0
lawrencelry,lycheeorange,Directed,604,,1.0
lawrencelry,wang-zhen-lei-57,Directed,3539,,1.0
lawrencelry,oxygen,Directed,2485,,1.0
lawrencelry,lanlingyeyu,Directed,1348,,1.0
lawrencelry,om19,Directed,11968,,1.0
lawrencelry,gongjun,Directed,4859,,1.0
lawrencelry,xiao-peng-fei-86,Directed,2645,,1.0
lawrencelry,shuang-wang,Directed,12733,,1.0
lawrencelry,hhua,Directed,4979,,1.0
lawrencelry,blackhumor,Directed,5347,,1.0
lawrencelry,welljessie,Directed,12211,,1.0
tao-zi-de-tao,jixin,Directed,13973,,1.0
tao-zi-de-tao,cogito,Directed,38,,1.0
tao-zi-de-tao,lanlingyeyu,Directed,1269,,1.0
tao-zi-de-tao,kant,Directed,2775,,1.0
tao-zi-de-tao,zan-er-26,Directed,12118,,1.0
tao-zi-de-tao,welljessie,Directed,12401,,1.0
gejinyuban,jixin,Directed,15740,,1.0
gejinyuban,marukochan,Directed,11547,,1.0
gejinyuban,cogito,Directed,39,,1.0
gejinyuban,lycheeorange,Directed,523,,1.0
gejinyuban,miaomiaomiao,Directed,7832,,1.0
gejinyuban,DrHow,Directed,3379,,1.0
gejinyuban,pb612,Directed,8377,,1.0
gejinyuban,lanlingyeyu,Directed,1168,,1.0
gejinyuban,cheng-yi-nan,Directed,6468,,1.0
gejinyuban,xiao-peng-fei-86,Directed,2688,,1.0
gejinyuban,zihaolucky,Directed,3209,,1.0
gejinyuban,hhua,Directed,4953,,1.0
gejinyuban,she-zhao-zhuo,Directed,6187,,1.0
gejinyuban,welljessie,Directed,12336,,1.0
gejinyuban,chengbailao,Directed,9582,,1.0
mfcndw,lycheeorange,Directed,40,,1.0
lycheeorange,wang-zhen-lei-57,Directed,3784,,1.0
lycheeorange,miaomiaomiao,Directed,7492,,1.0
lycheeorange,oxygen,Directed,1789,,1.0
lycheeorange,gongjun,Directed,3966,,1.0
lycheeorange,xiao-peng-fei-86,Directed,2563,,1.0
lycheeorange,zan-er-26,Directed,12050,,1.0
botao-hu,lycheeorange,Directed,41,,1.0
ethanlam,lycheeorange,Directed,42,,1.0
ethanlam,welljessie,Directed,12399,,1.0
zhen-lu,lycheeorange,Directed,43,,1.0
li-ming-44-31,lycheeorange,Directed,44,,1.0
windleavez,jixin,Directed,14035,,1.0
windleavez,lycheeorange,Directed,45,,1.0
windleavez,miaomiaomiao,Directed,7013,,1.0
windleavez,pb612,Directed,8160,,1.0
windleavez,kant,Directed,2818,,1.0
windleavez,zan-er-26,Directed,12071,,1.0
wang-zhen-lei-57,lycheeorange,Directed,46,,1.0
wang-zhen-lei-57,oxygen,Directed,1649,,1.0
wang-zhen-lei-57,anchibao,Directed,5251,,1.0
histart,jixin,Directed,13502,,1.0
histart,lycheeorange,Directed,47,,1.0
stevef,lycheeorange,Directed,48,,1.0
zhan-lin-tang-lao-wang,lycheeorange,Directed,49,,1.0
xia-bingying,lycheeorange,Directed,50,,1.0
wencece,jixin,Directed,14408,,1.0
wencece,lycheeorange,Directed,52,,1.0
cokecasper,jixin,Directed,13694,,1.0
cokecasper,lycheeorange,Directed,53,,1.0
cokecasper,zihaolucky,Directed,3150,,1.0
cai-zi-heng-68,lycheeorange,Directed,54,,1.0
wen-si-39,lycheeorange,Directed,55,,1.0
liao-bu-qi-de-su-xiao-jie,lycheeorange,Directed,56,,1.0
cocosuma,jixin,Directed,13049,,1.0
cocosuma,lycheeorange,Directed,57,,1.0
cocosuma,miaomiaomiao,Directed,7290,,1.0
cocosuma,lanlingyeyu,Directed,1436,,1.0
monkey-rider-69,lycheeorange,Directed,58,,1.0
monkey-rider-69,wang-zhen-lei-57,Directed,3508,,1.0
adamleung,lycheeorange,Directed,59,,1.0
internationalpimp,lycheeorange,Directed,60,,1.0
siwei-wang-16,lycheeorange,Directed,61,,1.0
zhao-xing-de,lycheeorange,Directed,62,,1.0
elsawang,jixin,Directed,13572,,1.0
elsawang,lycheeorange,Directed,63,,1.0
elsawang,oxygen,Directed,1726,,1.0
elsawang,zihaolucky,Directed,3125,,1.0
scalper,lycheeorange,Directed,64,,1.0
chen-da-wen-11-56,lycheeorange,Directed,65,,1.0
kuang-xue-ting,lycheeorange,Directed,66,,1.0
kuang-xue-ting,wang-zhen-lei-57,Directed,3771,,1.0
kuang-xue-ting,oxygen,Directed,1776,,1.0
lian-qiao,jixin,Directed,20377,,1.0
lian-qiao,lycheeorange,Directed,67,,1.0
lian-qiao,zihaolucky,Directed,3128,,1.0
mym95,lycheeorange,Directed,68,,1.0
laufei,jixin,Directed,13097,,1.0
laufei,lycheeorange,Directed,69,,1.0
laufei,shi-le-tian-38,Directed,11457,,1.0
mingchesu,lycheeorange,Directed,70,,1.0
mobiussi-wei-da-bai-jing,lycheeorange,Directed,71,,1.0
wu-jason-62,lycheeorange,Directed,72,,1.0
li-wan-er-88,lycheeorange,Directed,73,,1.0
mykk2002,lycheeorange,Directed,74,,1.0
chai-jian-yi,lycheeorange,Directed,75,,1.0
masterpa,lycheeorange,Directed,76,,1.0
JohnnyXu,lycheeorange,Directed,77,,1.0
yang-xi-82,jixin,Directed,13655,,1.0
yang-xi-82,lycheeorange,Directed,78,,1.0
rocky-5,jixin,Directed,17458,,1.0
rocky-5,lycheeorange,Directed,79,,1.0
rocky-5,gongjun,Directed,4088,,1.0
yunyizhang,lycheeorange,Directed,80,,1.0
maggie-kuo,lycheeorange,Directed,81,,1.0
maggie-kuo,wang-zhen-lei-57,Directed,3765,,1.0
maggie-kuo,xiao-peng-fei-86,Directed,2584,,1.0
hui-zi-bai,lycheeorange,Directed,82,,1.0
hui-zi-bai,kant,Directed,2809,,1.0
martinrgb,lycheeorange,Directed,83,,1.0
martinrgb,wang-zhen-lei-57,Directed,3687,,1.0
mr-neverdie,lycheeorange,Directed,84,,1.0
mr-neverdie,wang-zhen-lei-57,Directed,3525,,1.0
mr-neverdie,miaomiaomiao,Directed,7064,,1.0
mr-neverdie,zan-er-26,Directed,12079,,1.0
thejennyyy,jixin,Directed,13241,,1.0
thejennyyy,lycheeorange,Directed,85,,1.0
thejennyyy,miaomiaomiao,Directed,6925,,1.0
thejennyyy,lanlingyeyu,Directed,1153,,1.0
thejennyyy,kant,Directed,2806,,1.0
thejennyyy,zihaolucky,Directed,3138,,1.0
thejennyyy,she-zhao-zhuo,Directed,5902,,1.0
thejennyyy,zan-er-26,Directed,12054,,1.0
edtall,jixin,Directed,14709,,1.0
edtall,lycheeorange,Directed,86,,1.0
edtall,wang-zhen-lei-57,Directed,3785,,1.0
edtall,miaomiaomiao,Directed,7033,,1.0
edtall,pb612,Directed,8226,,1.0
edtall,oxygen,Directed,1530,,1.0
edtall,kant,Directed,2815,,1.0
edtall,cheng-yi-nan,Directed,6356,,1.0
edtall,gongjun,Directed,3942,,1.0
edtall,hhua,Directed,4890,,1.0
edtall,dovey,Directed,5716,,1.0
edtall,chengbailao,Directed,8951,,1.0
prog,jixin,Directed,13070,,1.0
prog,lycheeorange,Directed,87,,1.0
prog,wang-zhen-lei-57,Directed,3565,,1.0
prog,she-zhao-zhuo,Directed,5884,,1.0
driver-cn,lycheeorange,Directed,88,,1.0
driver-cn,wang-zhen-lei-57,Directed,3574,,1.0
lemup,jixin,Directed,15017,,1.0
lemup,lycheeorange,Directed,89,,1.0
emily-lou,jixin,Directed,14036,,1.0
emily-lou,lycheeorange,Directed,90,,1.0
emily-lou,pb612,Directed,8225,,1.0
emily-lou,lanlingyeyu,Directed,1146,,1.0
fiohistory,jixin,Directed,13218,,1.0
fiohistory,lycheeorange,Directed,91,,1.0
fiohistory,wang-zhen-lei-57,Directed,3589,,1.0
kedan-li,lycheeorange,Directed,92,,1.0
zhang-hao,jixin,Directed,20079,,1.0
zhang-hao,lycheeorange,Directed,93,,1.0
zhang-hao,gongjun,Directed,4337,,1.0
saltycherry,jixin,Directed,13053,,1.0
saltycherry,lycheeorange,Directed,94,,1.0
saltycherry,welljessie,Directed,12224,,1.0
saltycherry,chengbailao,Directed,8709,,1.0
liang-qing-san,lycheeorange,Directed,95,,1.0
ouchangkun,lycheeorange,Directed,96,,1.0
alex-wang-37,lycheeorange,Directed,97,,1.0
xiyin,lycheeorange,Directed,98,,1.0
lujw,lycheeorange,Directed,99,,1.0
gui-fei-nai-huang-bao,lycheeorange,Directed,100,,1.0
gui-fei-nai-huang-bao,wang-zhen-lei-57,Directed,3510,,1.0
yisong,jixin,Directed,13291,,1.0
yisong,lycheeorange,Directed,101,,1.0
yisong,pb612,Directed,8187,,1.0
yisong,oxygen,Directed,1662,,1.0
daniel-gao,lycheeorange,Directed,102,,1.0
shawndong.csproj,lycheeorange,Directed,103,,1.0
minmin.gong,jixin,Directed,13030,,1.0
minmin.gong,lycheeorange,Directed,104,,1.0
minmin.gong,wang-zhen-lei-57,Directed,3501,,1.0
minmin.gong,miaomiaomiao,Directed,7093,,1.0
Michael282694,lycheeorange,Directed,105,,1.0
Michael282694,wang-zhen-lei-57,Directed,3727,,1.0
Michael282694,miaomiaomiao,Directed,6668,,1.0
Michael282694,kant,Directed,2767,,1.0
hermes-dai-57,lycheeorange,Directed,106,,1.0
sicheng-chen,lycheeorange,Directed,107,,1.0
lai-xi-de-jie-jie,lycheeorange,Directed,108,,1.0
rengwuxian,lycheeorange,Directed,109,,1.0
corgi,lycheeorange,Directed,110,,1.0
moeka,lycheeorange,Directed,111,,1.0
