Source,Target,Type,Id,Label,Weight
50,43,Directed,47,,1.0
51,43,Directed,48,,1.0
52,43,Directed,49,,1.0
53,43,Directed,50,,1.0
54,5,Directed,14408,,1.0
54,43,Directed,52,,1.0
55,5,Directed,13694,,1.0
55,43,Directed,53,,1.0
55,2600,Directed,3150,,1.0
56,43,Directed,54,,1.0
57,43,Directed,55,,1.0
58,43,Directed,56,,1.0
59,5,Directed,13049,,1.0
59,43,Directed,57,,1.0
59,572,Directed,7290,,1.0
59,1088,Directed,1436,,1.0
60,43,Directed,58,,1.0
60,49,Directed,3508,,1.0
61,43,Directed,59,,1.0
62,43,Directed,60,,1.0
63,43,Directed,61,,1.0
64,43,Directed,62,,1.0
65,5,Directed,13572,,1.0
65,43,Directed,63,,1.0
65,720,Directed,1726,,1.0
65,2600,Directed,3125,,1.0
66,43,Directed,64,,1.0
67,43,Directed,65,,1.0
68,43,Directed,66,,1.0
68,49,Directed,3771,,1.0
68,720,Directed,1776,,1.0
69,5,Directed,20377,,1.0
69,43,Directed,67,,1.0
69,2600,Directed,3128,,1.0
70,43,Directed,68,,1.0
71,5,Directed,13097,,1.0
71,43,Directed,69,,1.0
71,8327,Directed,11457,,1.0
72,43,Directed,70,,1.0
73,43,Directed,71,,1.0
74,43,Directed,72,,1.0
75,43,Directed,73,,1.0
76,43,Directed,74,,1.0
77,43,Directed,75,,1.0
78,43,Directed,76,,1.0
79,43,Directed,77,,1.0
80,5,Directed,13655,,1.0
80,43,Directed,78,,1.0
81,5,Directed,17458,,1.0
81,43,Directed,79,,1.0
81,2246,Directed,4088,,1.0
82,43,Directed,80,,1.0
83,43,Directed,81,,1.0
83,49,Directed,3765,,1.0
83,2296,Directed,2584,,1.0
84,43,Directed,82,,1.0
84,1109,Directed,2809,,1.0
85,43,Directed,83,,1.0
85,49,Directed,3687,,1.0
86,43,Directed,84,,1.0
86,49,Directed,3525,,1.0
86,572,Directed,7064,,1.0
86,4689,Directed,12079,,1.0
87,5,Directed,13241,,1.0
87,43,Directed,85,,1.0
87,572,Directed,6925,,1.0
87,1088,Directed,1153,,1.0
87,1109,Directed,2806,,1.0
87,2600,Directed,3138,,1.0
87,4252,Directed,5902,,1.0
87,4689,Directed,12054,,1.0
88,5,Directed,14709,,1.0
88,43,Directed,86,,1.0
88,49,Directed,3785,,1.0
88,572,Directed,7033,,1.0
88,653,Directed,8226,,1.0
88,720,Directed,1530,,1.0
88,1109,Directed,2815,,1.0
88,1232,Directed,6356,,1.0
88,2246,Directed,3942,,1.0
88,3739,Directed,4890,,1.0
88,4206,Directed,5716,,1.0
88,5868,Directed,8951,,1.0
89,5,Directed,13070,,1.0
89,43,Directed,87,,1.0
89,49,Directed,3565,,1.0
89,4252,Directed,5884,,1.0
90,43,Directed,88,,1.0
90,49,Directed,3574,,1.0
91,5,Directed,15017,,1.0
91,43,Directed,89,,1.0
92,5,Directed,14036,,1.0
92,43,Directed,90,,1.0
92,653,Directed,8225,,1.0
92,1088,Directed,1146,,1.0
93,5,Directed,13218,,1.0
93,43,Directed,91,,1.0
93,49,Directed,3589,,1.0
94,43,Directed,92,,1.0
95,5,Directed,20079,,1.0
95,43,Directed,93,,1.0
95,2246,Directed,4337,,1.0
96,5,Directed,13053,,1.0
96,43,Directed,94,,1.0
96,5007,Directed,12224,,1.0
96,5868,Directed,8709,,1.0
97,43,Directed,95,,1.0
98,43,Directed,96,,1.0
99,43,Directed,97,,1.0
100,43,Directed,98,,1.0
101,43,Directed,99,,1.0
102,43,Directed,100,,1.0
102,49,Directed,3510,,1.0
103,5,Directed,13291,,1.0
103,43,Directed,101,,1.0
103,653,Directed,8187,,1.0
103,720,Directed,1662,,1.0
104,43,Directed,102,,1.0
105,43,Directed,103,,1.0
106,5,Directed,13030,,1.0
106,43,Directed,104,,1.0
106,49,Directed,3501,,1.0
106,572,Directed,7093,,1.0
107,43,Directed,105,,1.0
107,49,Directed,3727,,1.0
107,572,Directed,6668,,1.0
107,1109,Directed,2767,,1.0
108,43,Directed,106,,1.0
109,43,Directed,107,,1.0
110,43,Directed,108,,1.0
111,43,Directed,109,,1.0
112,43,Directed,110,,1.0
113,43,Directed,111,,1.0
113,860,Directed,917,,1.0
113,1088,Directed,1172,,1.0
114,5,Directed,18732,,1.0
114,43,Directed,112,,1.0
115,43,Directed,113,,1.0
116,43,Directed,114,,1.0
117,43,Directed,115,,1.0
118,43,Directed,116,,1.0
119,43,Directed,117,,1.0
120,8,Directed,11628,,1.0
120,43,Directed,118,,1.0
120,572,Directed,7639,,1.0
120,720,Directed,1674,,1.0
120,2296,Directed,2640,,1.0
120,2600,Directed,3142,,1.0
120,8327,Directed,11474,,1.0
121,5,Directed,21395,,1.0
121,43,Directed,119,,1.0
121,2246,Directed,4712,,1.0
122,5,Directed,13512,,1.0
122,8,Directed,11506,,1.0
122,43,Directed,120,,1.0
122,49,Directed,3579,,1.0
122,572,Directed,6680,,1.0
122,720,Directed,1634,,1.0
122,1109,Directed,2816,,1.0
122,2008,Directed,11855,,1.0
122,4252,Directed,5895,,1.0
122,5007,Directed,12288,,1.0
122,5868,Directed,8828,,1.0
123,43,Directed,121,,1.0
123,1088,Directed,1357,,1.0
124,43,Directed,122,,1.0
125,43,Directed,123,,1.0
125,720,Directed,1545,,1.0
126,5,Directed,19438,,1.0
126,43,Directed,124,,1.0
126,49,Directed,3627,,1.0
127,5,Directed,20566,,1.0
127,43,Directed,125,,1.0
128,5,Directed,13841,,1.0
128,43,Directed,126,,1.0
128,49,Directed,3801,,1.0
128,720,Directed,1713,,1.0
128,2246,Directed,3964,,1.0
129,5,Directed,15434,,1.0
129,43,Directed,127,,1.0
129,49,Directed,3780,,1.0
129,572,Directed,6976,,1.0
129,720,Directed,1558,,1.0
129,1109,Directed,2835,,1.0
129,1232,Directed,6394,,1.0
129,3877,Directed,5120,,1.0
129,5868,Directed,8687,,1.0
130,5,Directed,14946,,1.0
130,34,Directed,3902,,1.0
130,43,Directed,128,,1.0
130,49,Directed,3699,,1.0
130,572,Directed,6733,,1.0
130,720,Directed,1657,,1.0
130,1109,Directed,2908,,1.0
130,4252,Directed,5936,,1.0
131,5,Directed,13098,,1.0
131,43,Directed,129,,1.0
131,1088,Directed,1204,,1.0
131,1109,Directed,2897,,1.0
132,43,Directed,130,,1.0
133,43,Directed,131,,1.0
133,49,Directed,3683,,1.0
134,43,Directed,132,,1.0
134,572,Directed,7051,,1.0
135,43,Directed,133,,1.0
136,5,Directed,15875,,1.0
136,43,Directed,134,,1.0
136,572,Directed,7516,,1.0
136,2008,Directed,11941,,1.0
137,43,Directed,135,,1.0
138,43,Directed,136,,1.0
139,5,Directed,13760,,1.0
139,43,Directed,137,,1.0
139,572,Directed,6785,,1.0
139,4252,Directed,6009,,1.0
139,4689,Directed,12105,,1.0
140,43,Directed,138,,1.0
141,43,Directed,139,,1.0
141,49,Directed,3742,,1.0
141,1109,Directed,2880,,1.0
141,5868,Directed,8923,,1.0
142,5,Directed,13629,,1.0
